date	number
01/01/1700	0
01/01/1701	0
01/01/1702	0
01/01/1703	0
01/01/1704	0
01/01/1705	0
01/01/1706	0
01/01/1707	0
01/01/1708	0
01/01/1709	0
01/01/1710	0
01/01/1711	0
01/01/1712	0
01/01/1713	0
01/01/1714	0
01/01/1715	0
01/01/1716	0
01/01/1717	0
01/01/1718	0
01/01/1719	0
01/01/1720	0
01/01/1721	0
01/01/1722	0
01/01/1723	0
01/01/1724	0
01/01/1725	0
01/01/1726	0
01/01/1727	0
01/01/1728	0
01/01/1729	0
01/01/1730	0
01/01/1731	0
01/01/1732	0
01/01/1733	0
01/01/1734	0
01/01/1735	0
01/01/1736	0
01/01/1737	0
01/01/1738	0
01/01/1739	0
01/01/1740	0
01/01/1741	0
01/01/1742	0
01/01/1743	2
01/01/1744	0
01/01/1745	0
01/01/1746	0
01/01/1747	0
01/01/1748	0
01/01/1749	0
01/01/1750	1
01/01/1751	0
01/01/1752	2
01/01/1753	0
01/01/1754	0
01/01/1755	0
01/01/1756	0
01/01/1757	0
01/01/1758	0
01/01/1759	1
01/01/1760	1
01/01/1761	0
01/01/1762	0
01/01/1763	0
01/01/1764	0
01/01/1765	0
01/01/1766	0
01/01/1767	3
01/01/1768	0
01/01/1769	0
01/01/1770	0
01/01/1771	2
01/01/1772	0
01/01/1773	0
01/01/1774	0
01/01/1775	1
01/01/1776	1
01/01/1777	0
01/01/1778	3
01/01/1779	0
01/01/1780	0
01/01/1781	4
01/01/1782	2
01/01/1783	2
01/01/1784	0
01/01/1785	2
01/01/1786	4
01/01/1787	2
01/01/1788	0
01/01/1789	1
01/01/1790	1
